Time(s),h(m),V(V),Encoder,ADC
0,0,8,0,0.0334487
0.005,0,8,0,0.0334487
0.01,0,8,0,0.0334487
0.015,-0.000238,8,-1,0.0334487
0.02,-0.000714,8,-3,0.0334487
0.025,-0.000952,8,-4,0.0334487
0.03,-0.001428,8,-6,0.0334487
0.035,-0.001904,8,-8,0.0334487
0.04,-0.002618,8,-11,0.0334487
0.045,-0.003094,8,-13,0.0334487
0.05,-0.004046,8,-17,0.0334487
0.055,-0.00476,8,-20,0.0334487
0.06,-0.005474,8,-23,0.0334487
0.065,-0.006426,8,-27,0.0334487
0.07,-0.007378,8,-31,0.0334487
0.075,-0.00833,8,-35,0.0334487
0.08,-0.009282,8,-39,0.0334487
0.085,-0.010472,8,-44,0.0334487
0.09,-0.011662,8,-49,0.0334487
0.095,-0.012614,8,-53,0.0334487
0.1,-0.014042,8,-59,0.0334487
0.105,-0.015232,8,-64,3.30719
0.11,-0.016422,8,-69,3.30719
0.115,-0.01785,8,-75,3.30719
0.12,-0.01904,8,-80,3.30719
0.125,-0.020468,8,-86,3.30719
0.13,-0.021896,8,-92,3.30719
0.135,-0.023562,8,-99,3.30719
0.14,-0.02499,8,-105,3.30719
0.145,-0.026656,8,-112,3.30719
0.15,-0.028322,8,-119,3.30719
0.155,-0.02975,8,-125,3.30719
0.16,-0.031654,8,-133,3.30719
0.165,-0.03332,8,-140,3.30719
0.17,-0.034986,8,-147,3.30719
0.175,-0.03689,8,-155,3.30719
0.18,-0.038556,8,-162,3.30719
0.185,-0.04046,8,-170,3.30719
0.19,-0.042364,8,-178,3.30719
0.195,-0.044268,8,-186,3.30719
0.2,-0.046172,8,-194,3.30719
0.205,-0.048076,8,-202,3.30719
0.21,-0.050218,8,-211,2.26471
0.215,-0.052122,8,-219,2.26471
0.22,-0.054026,8,-227,2.26471
0.225,-0.056168,8,-236,2.26471
0.23,-0.05831,8,-245,2.26471
0.235,-0.060214,8,-253,2.26471
0.24,-0.062356,8,-262,2.26471
0.245,-0.064498,8,-271,2.26471
0.25,-0.06664,8,-280,2.26471
0.255,-0.068782,8,-289,2.26471
0.26,-0.070924,8,-298,2.26471
0.265,-0.073066,8,-307,2.26471
0.27,-0.075208,8,-316,2.26471
0.275,-0.077588,8,-326,2.26471
0.28,-0.07973,8,-335,2.26471
0.285,-0.08211,8,-345,2.26471
0.29,-0.084252,8,-354,2.26471
0.295,-0.086632,8,-364,2.26471
0.3,-0.088774,8,-373,2.26471
0.305,-0.091154,8,-383,2.26471
0.31,-0.093534,8,-393,2.26471
0.315,-0.095914,8,-403,1.7451
0.32,-0.098294,8,-413,1.7451
0.325,-0.10067,8,-423,1.7451
0.33,-0.10305,8,-433,1.7451
0.335,-0.10543,8,-443,1.7451
0.34,-0.10781,8,-453,1.7451
0.345,-0.11019,8,-463,1.7451
0.35,-0.11257,8,-473,1.7451
0.355,-0.11519,8,-484,1.7451
0.36,-0.11757,8,-494,1.7451
0.365,-0.11995,8,-504,1.7451
0.37,-0.12257,8,-515,1.7451
0.375,-0.12495,8,-525,1.7451
0.38,-0.12733,8,-535,1.7451
0.385,-0.12995,8,-546,1.7451
0.39,-0.13233,8,-556,1.7451
0.395,-0.13495,8,-567,1.7451
0.4,-0.13733,8,-577,1.7451
0.405,-0.13994,8,-588,1.7451
0.41,-0.14232,8,-598,1.7451
0.415,-0.14494,8,-609,1.7451
0.42,-0.14732,8,-619,1.7451
0.425,-0.14994,8,-630,1.57516
0.43,-0.15256,8,-641,1.57516
0.435,-0.15518,8,-652,1.57516
0.44,-0.15779,8,-663,1.57516
0.445,-0.16017,8,-673,1.57516
0.45,-0.16279,8,-684,1.57516
0.455,-0.16541,8,-695,1.57516
0.46,-0.16803,8,-706,1.57516
0.465,-0.17065,8,-717,1.57516
0.47,-0.17326,8,-728,1.57516
0.475,-0.17588,8,-739,1.57516
0.48,-0.1785,8,-750,1.57516
0.485,-0.18112,8,-761,1.57516
0.49,-0.18397,8,-773,1.57516
0.495,-0.18635,8,-783,1.57516
0.5,-0.18921,8,-795,1.57516
0.505,-0.19183,8,-806,1.57516
0.51,-0.19445,8,-817,1.57516
0.515,-0.19706,8,-828,1.57516
0.52,-0.19968,8,-839,1.57516
0.525,-0.20254,8,-851,1.57516
0.53,-0.20516,8,-862,1.33987
0.535,-0.20777,8,-873,1.33987
0.54,-0.21039,8,-884,1.33987
0.545,-0.21325,8,-896,1.33987
0.55,-0.21587,8,-907,1.33987
0.555,-0.21848,8,-918,1.33987
0.56,-0.22134,8,-930,1.33987
0.565,-0.22396,8,-941,1.33987
0.57,-0.22681,8,-953,1.33987
0.575,-0.22943,8,-964,1.33987
0.58,-0.23205,8,-975,1.33987
0.585,-0.23491,8,-987,1.33987
0.59,-0.23752,8,-998,1.33987
0.595,-0.24038,8,-1010,1.33987
0.6,-0.243,8,-1021,1.33987
0.605,-0.24585,8,-1033,1.33987
0.61,-0.24847,8,-1044,1.33987
0.615,-0.25133,8,-1056,1.33987
0.62,-0.25395,8,-1067,1.33987
0.625,-0.2568,8,-1079,1.33987
0.63,-0.25966,8,-1091,1.33987
0.635,-0.26228,8,-1102,1.23203
0.64,-0.26513,8,-1114,1.23203
0.645,-0.26775,8,-1125,1.23203
0.65,-0.27061,8,-1137,1.23203
0.655,-0.27346,8,-1149,1.23203
0.66,-0.27608,8,-1160,1.23203
0.665,-0.27894,8,-1172,1.23203
0.67,-0.28155,8,-1183,1.23203
0.675,-0.28441,8,-1195,1.23203
0.68,-0.28727,8,-1207,1.23203
0.685,-0.28988,8,-1218,1.23203
0.69,-0.29274,8,-1230,1.23203
0.695,-0.2956,8,-1242,1.23203
0.7,-0.29821,8,-1253,1.23203
0.705,-0.30107,8,-1265,1.23203
0.71,-0.30393,8,-1277,1.23203
0.715,-0.30678,8,-1289,1.23203
0.72,-0.3094,8,-1300,1.23203
0.725,-0.31226,8,-1312,1.23203
0.73,-0.31511,8,-1324,1.23203
0.735,-0.31773,8,-1335,1.23203
0.74,-0.32059,8,-1347,1.23203
0.745,-0.32344,8,-1359,1.23203
0.75,-0.3263,8,-1371,1.23203
0.755,-0.32915,8,-1383,1.23203
0.76,-0.33177,8,-1394,1.23203
0.765,-0.33463,8,-1406,1.23203
0.77,-0.33748,8,-1418,1.23203
0.775,-0.34034,8,-1430,1.23203
0.78,-0.3432,8,-1442,1.23203
0.785,-0.34581,8,-1453,1.23203
0.79,-0.34867,8,-1465,1.23203
0.795,-0.35153,8,-1477,1.23203
0.8,-0.35438,8,-1489,1.23203
0.805,-0.35724,8,-1501,1.23203
0.81,-0.36009,8,-1513,1.23203
0.815,-0.36295,8,-1525,1.23203
0.82,-0.36557,8,-1536,1.23203
0.825,-0.36842,8,-1548,1.23203
0.83,-0.37128,8,-1560,1.23203
0.835,-0.37414,8,-1572,1.23203
0.84,-0.37699,8,-1584,1.23203
0.845,-0.37985,8,-1596,1.23203
0.85,-0.3827,8,-1608,1.20588
0.855,-0.38556,8,-1620,1.20588
0.86,-0.38842,8,-1632,1.20588
0.865,-0.39127,8,-1644,1.20588
0.87,-0.39413,8,-1656,1.20588
0.875,-0.39698,8,-1668,1.20588
0.88,-0.39984,8,-1680,1.20588
0.885,-0.40246,8,-1691,1.20588
0.89,-0.40531,8,-1703,1.20588
0.895,-0.40817,8,-1715,1.20588
0.9,-0.41102,8,-1727,1.20588
0.905,-0.41388,8,-1739,1.20588
0.91,-0.41674,8,-1751,1.20588
0.915,-0.41959,8,-1763,1.20588
0.92,-0.42245,8,-1775,1.20588
0.925,-0.4253,8,-1787,1.20588
0.93,-0.42816,8,-1799,1.20588
0.935,-0.43102,8,-1811,1.20588
0.94,-0.43387,8,-1823,1.20588
0.945,-0.43673,8,-1835,1.20588
0.95,-0.43958,8,-1847,1.20588
0.955,-0.44244,8,-1859,1.16667
0.96,-0.4453,8,-1871,1.16667
0.965,-0.44815,8,-1883,1.16667
0.97,-0.45077,8,-1894,1.16667
0.975,-0.45363,8,-1906,1.16667
0.98,-0.45648,8,-1918,1.16667
0.985,-0.45934,8,-1930,1.16667
0.99,-0.46219,8,-1942,1.16667
0.995,-0.46505,8,-1954,1.16667
1,-0.46791,8,-1966,1.16667
1.005,-0.47076,8,-1978,1.16667
1.01,-0.47362,8,-1990,1.16667
1.015,-0.47647,8,-2002,1.16667
1.02,-0.47933,8,-2014,1.16667
1.025,-0.48219,8,-2026,1.16667
1.03,-0.48504,8,-2038,1.16667
1.035,-0.4879,8,-2050,1.16667
1.04,-0.49075,8,-2062,1.16667
1.045,-0.49361,8,-2074,1.16667
1.05,-0.49647,8,-2086,1.16667
1.055,-0.49932,8,-2098,1.16667
1.06,-0.50218,8,-2110,1.20261
1.065,-0.50503,8,-2122,1.20261
1.07,-0.50789,8,-2134,1.20261
1.075,-0.51075,8,-2146,1.20261
1.08,-0.5136,8,-2158,1.20261
1.085,-0.51646,8,-2170,1.20261
1.09,-0.51931,8,-2182,1.20261
1.095,-0.52217,8,-2194,1.20261
1.1,-0.52526,8,-2207,1.20261
1.105,-0.52812,8,-2219,1.20261
1.11,-0.53098,8,-2231,1.20261
1.115,-0.53383,8,-2243,1.20261
1.12,-0.53669,8,-2255,1.20261
1.125,-0.53954,8,-2267,1.20261
1.13,-0.5424,8,-2279,1.20261
1.135,-0.54526,8,-2291,1.20261
1.14,-0.54811,8,-2303,1.20261
1.145,-0.55097,8,-2315,1.20261
1.15,-0.55382,8,-2327,1.20261
1.155,-0.55668,8,-2339,1.20261
1.16,-0.55954,8,-2351,1.20261
1.165,-0.56239,8,-2363,1.20261
1.17,-0.56525,8,-2375,1.14052
1.175,-0.5681,8,-2387,1.14052
1.18,-0.5712,8,-2400,1.14052
1.185,-0.57405,8,-2412,1.14052
1.19,-0.57691,8,-2424,1.14052
1.195,-0.57977,8,-2436,1.14052
1.2,-0.58262,8,-2448,1.14052
1.205,-0.58548,8,-2460,1.14052
1.21,-0.58833,8,-2472,1.14052
1.215,-0.59119,8,-2484,1.14052
1.22,-0.59405,8,-2496,1.14052
1.225,-0.5969,8,-2508,1.14052
1.23,-0.59976,8,-2520,1.14052
1.235,-0.60261,8,-2532,1.14052
1.24,-0.60547,8,-2544,1.14052
1.245,-0.60833,8,-2556,1.14052
1.25,-0.61118,8,-2568,1.14052
1.255,-0.61404,8,-2580,1.14052
1.26,-0.61689,8,-2592,1.14052
1.265,-0.61975,8,-2604,1.14052
1.27,-0.62261,8,-2616,1.14052
1.275,-0.62546,8,-2628,1.15686
1.28,-0.62832,8,-2640,1.15686
1.285,-0.63141,8,-2653,1.15686
1.29,-0.63427,8,-2665,1.15686
1.295,-0.63712,8,-2677,1.15686
1.3,-0.63998,8,-2689,1.15686
1.305,-0.64284,8,-2701,1.15686
1.31,-0.64569,8,-2713,1.15686
1.315,-0.64855,8,-2725,1.15686
1.32,-0.6514,8,-2737,1.15686
1.325,-0.65426,8,-2749,1.15686
1.33,-0.65712,8,-2761,1.15686
1.335,-0.65997,8,-2773,1.15686
1.34,-0.66283,8,-2785,1.15686
1.345,-0.66568,8,-2797,1.15686
1.35,-0.66854,8,-2809,1.15686
1.355,-0.6714,8,-2821,1.15686
1.36,-0.67449,8,-2834,1.15686
1.365,-0.67735,8,-2846,1.15686
1.37,-0.6802,8,-2858,1.15686
1.375,-0.68306,8,-2870,1.15686
1.38,-0.68591,8,-2882,1.18954
1.385,-0.68877,8,-2894,1.18954
1.39,-0.69163,8,-2906,1.18954
1.395,-0.69472,8,-2919,1.18954
1.4,-0.69758,8,-2931,1.18954
1.405,-0.70043,8,-2943,1.18954
1.41,-0.70329,8,-2955,1.18954
1.415,-0.70614,8,-2967,1.18954
1.42,-0.709,8,-2979,1.18954
1.425,-0.71186,8,-2991,1.18954
1.43,-0.71471,8,-3003,1.18954
1.435,-0.71757,8,-3015,1.18954
1.44,-0.72066,8,-3028,1.18954
1.445,-0.72352,8,-3040,1.18954
1.45,-0.72637,8,-3052,1.18954
1.455,-0.72923,8,-3064,1.18954
1.46,-0.73209,8,-3076,1.18954
1.465,-0.73494,8,-3088,1.18954
1.47,-0.7378,8,-3100,1.18954
1.475,-0.74089,8,-3113,1.18954
1.48,-0.74375,8,-3125,1.18954
1.485,-0.7466,8,-3137,1.17974
1.49,-0.74946,8,-3149,1.17974
1.495,-0.75232,8,-3161,1.17974
1.5,-0.75517,8,-3173,1.17974
1.505,-0.75803,8,-3185,1.17974
1.51,-0.76088,8,-3197,1.17974
1.515,-0.76374,8,-3209,1.17974
1.52,-0.7666,8,-3221,1.17974
1.525,-0.76945,8,-3233,1.17974
1.53,-0.77231,8,-3245,1.17974
1.535,-0.77516,8,-3257,1.17974
1.54,-0.77802,8,-3269,1.17974
1.545,-0.78111,8,-3282,1.17974
1.55,-0.78397,8,-3294,1.17974
1.555,-0.78683,8,-3306,1.17974
1.56,-0.78968,8,-3318,1.17974
1.565,-0.79254,8,-3330,1.17974
1.57,-0.79539,8,-3342,1.17974
1.575,-0.79825,8,-3354,1.17974
1.58,-0.80111,8,-3366,1.17974
1.585,-0.80396,8,-3378,1.17974
1.59,-0.80682,8,-3390,1.17974
1.595,-0.80967,8,-3402,1.16993
1.6,-0.81253,8,-3414,1.16993
1.605,-0.81562,8,-3427,1.16993
1.61,-0.81848,8,-3439,1.16993
1.615,-0.82134,8,-3451,1.16993
1.62,-0.82419,8,-3463,1.16993
1.625,-0.82705,8,-3475,1.16993
1.63,-0.8299,8,-3487,1.16993
1.635,-0.83276,8,-3499,1.16993
1.64,-0.83562,8,-3511,1.16993
1.645,-0.83847,8,-3523,1.16993
1.65,-0.84133,8,-3535,1.16993
1.655,-0.84418,8,-3547,1.16993
1.66,-0.84728,8,-3560,1.16993
1.665,-0.85013,8,-3572,1.16993
1.67,-0.85299,8,-3584,1.16993
1.675,-0.85585,8,-3596,1.16993
1.68,-0.8587,8,-3608,1.16993
1.685,-0.86156,8,-3620,1.16993
1.69,-0.86441,8,-3632,1.16993
1.695,-0.86727,8,-3644,1.16993
1.7,-0.87036,8,-3657,1.18627
1.705,-0.87322,8,-3669,1.18627
1.71,-0.87608,8,-3681,1.18627
1.715,-0.87893,8,-3693,1.18627
1.72,-0.88179,8,-3705,1.18627
1.725,-0.88464,8,-3717,1.18627
1.73,-0.8875,8,-3729,1.18627
1.735,-0.89036,8,-3741,1.18627
1.74,-0.89345,8,-3754,1.18627
1.745,-0.89631,8,-3766,1.18627
1.75,-0.89916,8,-3778,1.18627
1.755,-0.90202,8,-3790,1.18627
1.76,-0.90487,8,-3802,1.18627
1.765,-0.90773,8,-3814,1.18627
1.77,-0.91059,8,-3826,1.18627
1.775,-0.91368,8,-3839,1.18627
1.78,-0.91654,8,-3851,1.18627
1.785,-0.91939,8,-3863,1.18627
1.79,-0.92225,8,-3875,1.18627
1.795,-0.9251,8,-3887,1.18627
