Time(s),h(m),V(V),Encoder,ADC
0,0,-8,0,0.0105344
0.005,0,-8,0,0.0105344
0.01,0,-8,0,0.0105344
0.015,0.000238,-8,1,0.0105344
0.02,0.000476,-8,2,0.0105344
0.025,0.000952,-8,4,0.0105344
0.03,0.00119,-8,5,0.0105344
0.035,0.001904,-8,8,0.0105344
0.04,0.00238,-8,10,0.0105344
0.045,0.003094,-8,13,0.0105344
0.05,0.00357,-8,15,0.0105344
0.055,0.004522,-8,19,0.0105344
0.06,0.005236,-8,22,0.0105344
0.065,0.00595,-8,25,0.0105344
0.07,0.006902,-8,29,0.0105344
0.075,0.007854,-8,33,0.0105344
0.08,0.009044,-8,38,0.0105344
0.085,0.010234,-8,43,0.0105344
0.09,0.011186,-8,47,0.0105344
0.095,0.012614,-8,53,-3.88235
0.1,0.013804,-8,58,-3.88235
0.105,0.014994,-8,63,-3.88235
0.11,0.016422,-8,69,-3.88235
0.115,0.01785,-8,75,-3.88235
0.12,0.019278,-8,81,-3.88235
0.125,0.020944,-8,88,-3.88235
0.13,0.022372,-8,94,-3.88235
0.135,0.024038,-8,101,-3.88235
0.14,0.025704,-8,108,-3.88235
0.145,0.02737,-8,115,-3.88235
0.15,0.029036,-8,122,-3.88235
0.155,0.030702,-8,129,-3.88235
0.16,0.032606,-8,137,-3.88235
0.165,0.034272,-8,144,-3.88235
0.17,0.036176,-8,152,-3.88235
0.175,0.03808,-8,160,-3.88235
0.18,0.039984,-8,168,-3.88235
0.185,0.041888,-8,176,-3.88235
0.19,0.04403,-8,185,-3.88235
0.195,0.045934,-8,193,-3.88235
0.2,0.048076,-8,202,-2.35621
0.205,0.04998,-8,210,-2.35621
0.21,0.052122,-8,219,-2.35621
0.215,0.054264,-8,228,-2.35621
0.22,0.056406,-8,237,-2.35621
0.225,0.058548,-8,246,-2.35621
0.23,0.06069,-8,255,-2.35621
0.235,0.06307,-8,265,-2.35621
0.24,0.065212,-8,274,-2.35621
0.245,0.067354,-8,283,-2.35621
0.25,0.069734,-8,293,-2.35621
0.255,0.072114,-8,303,-2.35621
0.26,0.074494,-8,313,-2.35621
0.265,0.076636,-8,322,-2.35621
0.27,0.079016,-8,332,-2.35621
0.275,0.081396,-8,342,-2.35621
0.28,0.083776,-8,352,-2.35621
0.285,0.086156,-8,362,-2.35621
0.29,0.088774,-8,373,-2.35621
0.295,0.091154,-8,383,-2.35621
0.3,0.093534,-8,393,-2.35621
0.305,0.096152,-8,404,-2.35621
0.31,0.098532,-8,414,-1.64379
0.315,0.10115,-8,425,-1.64379
0.32,0.10353,-8,435,-1.64379
0.325,0.10615,-8,446,-1.64379
0.33,0.10877,-8,457,-1.64379
0.335,0.11138,-8,468,-1.64379
0.34,0.114,-8,479,-1.64379
0.345,0.11638,-8,489,-1.64379
0.35,0.119,-8,500,-1.64379
0.355,0.12162,-8,511,-1.64379
0.36,0.12424,-8,522,-1.64379
0.365,0.12709,-8,534,-1.64379
0.37,0.12971,-8,545,-1.64379
0.375,0.13233,-8,556,-1.64379
0.38,0.13495,-8,567,-1.64379
0.385,0.1378,-8,579,-1.64379
0.39,0.14042,-8,590,-1.64379
0.395,0.14304,-8,601,-1.64379
0.4,0.14589,-8,613,-1.64379
0.405,0.14851,-8,624,-1.64379
0.41,0.15137,-8,636,-1.64379
0.415,0.15399,-8,647,-1.42484
0.42,0.15684,-8,659,-1.42484
0.425,0.1597,-8,671,-1.42484
0.43,0.16232,-8,682,-1.42484
0.435,0.16517,-8,694,-1.42484
0.44,0.16779,-8,705,-1.42484
0.445,0.17065,-8,717,-1.42484
0.45,0.1735,-8,729,-1.42484
0.455,0.17636,-8,741,-1.42484
0.46,0.17921,-8,753,-1.42484
0.465,0.18207,-8,765,-1.42484
0.47,0.18493,-8,777,-1.42484
0.475,0.18778,-8,789,-1.42484
0.48,0.19064,-8,801,-1.42484
0.485,0.19326,-8,812,-1.42484
0.49,0.19635,-8,825,-1.42484
0.495,0.19921,-8,837,-1.42484
0.5,0.20206,-8,849,-1.42484
0.505,0.20492,-8,861,-1.42484
0.51,0.20777,-8,873,-1.42484
