Time(s),h(m),V(V),Encoder,ADC
0,0,8,0,0.0333718
0.005,0.000238,8,1,0.0333718
0.01,0.000476,8,2,0.0333718
0.015,0.000714,8,3,0.0333718
0.02,0.000952,8,4,0.0333718
0.025,0.001428,8,6,0.0333718
0.03,0.001904,8,8,0.0333718
0.035,0.00238,8,10,0.0333718
0.04,0.003094,8,13,0.0333718
0.045,0.003808,8,16,0.0333718
0.05,0.004522,8,19,0.0333718
0.055,0.005236,8,22,0.0333718
0.06,0.006188,8,26,0.0333718
0.065,0.00714,8,30,0.0333718
0.07,0.008092,8,34,0.0333718
0.075,0.009044,8,38,0.0333718
0.08,0.009996,8,42,0.0333718
0.085,0.011186,8,47,0.0333718
0.09,0.012138,8,51,3.88889
0.095,0.013328,8,56,3.88889
0.1,0.014518,8,61,3.88889
0.105,0.01547,8,65,3.88889
0.11,0.016898,8,71,3.88889
0.115,0.018088,8,76,3.88889
0.12,0.019278,8,81,3.88889
0.125,0.020468,8,86,3.88889
0.13,0.021896,8,92,3.88889
0.135,0.023086,8,97,3.88889
0.14,0.024514,8,103,3.88889
0.145,0.025942,8,109,3.88889
0.15,0.02737,8,115,3.88889
0.155,0.028798,8,121,3.88889
0.16,0.030226,8,127,3.88889
0.165,0.031654,8,133,3.88889
0.17,0.03332,8,140,3.88889
0.175,0.034748,8,146,3.88889
0.18,0.036414,8,153,3.88889
0.185,0.037842,8,159,3.88889
0.19,0.039508,8,166,3.88889
0.195,0.041174,8,173,3.88889
0.2,0.04284,8,180,2.89543
0.205,0.044744,8,188,2.89543
0.21,0.04641,8,195,2.89543
0.215,0.048076,8,202,2.89543
0.22,0.04998,8,210,2.89543
0.225,0.051646,8,217,2.89543
0.23,0.05355,8,225,2.89543
0.235,0.055454,8,233,2.89543
0.24,0.057358,8,241,2.89543
0.245,0.059262,8,249,2.89543
0.25,0.061166,8,257,2.89543
0.255,0.06307,8,265,2.89543
0.26,0.064974,8,273,2.89543
0.265,0.066878,8,281,2.89543
0.27,0.068782,8,289,2.89543
0.275,0.070924,8,298,2.89543
0.28,0.072828,8,306,2.89543
0.285,0.074732,8,314,2.89543
0.29,0.076874,8,323,2.89543
0.295,0.078778,8,331,2.89543
0.3,0.08092,8,340,2.89543
0.305,0.082824,8,348,2.31046
0.31,0.084966,8,357,2.31046
0.315,0.08687,8,365,2.31046
0.32,0.089012,8,374,2.31046
0.325,0.091154,8,383,2.31046
0.33,0.093058,8,391,2.31046
0.335,0.0952,8,400,2.31046
0.34,0.097342,8,409,2.31046
0.345,0.099246,8,417,2.31046
0.35,0.10163,8,427,2.31046
0.355,0.10353,8,435,2.31046
0.36,0.10591,8,445,2.31046
0.365,0.10805,8,454,2.31046
0.37,0.11019,8,463,2.31046
0.375,0.11234,8,472,2.31046
0.38,0.11448,8,481,2.31046
0.385,0.11686,8,491,2.31046
0.39,0.119,8,500,2.31046
0.395,0.12114,8,509,2.31046
0.4,0.12352,8,519,2.31046
0.405,0.1259,8,529,2.31046
0.41,0.12804,8,538,1.98366
0.415,0.13042,8,548,1.98366
0.42,0.13257,8,557,1.98366
0.425,0.13495,8,567,1.98366
0.43,0.13733,8,577,1.98366
0.435,0.13947,8,586,1.98366
0.44,0.14185,8,596,1.98366
0.445,0.14423,8,606,1.98366
0.45,0.14637,8,615,1.98366
0.455,0.14875,8,625,1.98366
0.46,0.15113,8,635,1.98366
0.465,0.15351,8,645,1.98366
0.47,0.15589,8,655,1.98366
0.475,0.15803,8,664,1.98366
0.48,0.16041,8,674,1.98366
0.485,0.16279,8,684,1.98366
0.49,0.16517,8,694,1.98366
0.495,0.16755,8,704,1.98366
0.5,0.16993,8,714,1.98366
0.505,0.17231,8,724,1.98366
0.51,0.17469,8,734,1.98366
0.515,0.17683,8,743,1.98366
0.52,0.17921,8,753,1.84314
0.525,0.18159,8,763,1.84314
0.53,0.18397,8,773,1.84314
0.535,0.18635,8,783,1.84314
0.54,0.18897,8,794,1.84314
0.545,0.19135,8,804,1.84314
0.55,0.19373,8,814,1.84314
0.555,0.19611,8,824,1.84314
0.56,0.19849,8,834,1.84314
0.565,0.20087,8,844,1.84314
0.57,0.20325,8,854,1.84314
