Time(s),h(m),V(V),Encoder,ADC
0,0,-8,0,1
0.005,0,-8,0,1
0.01,-0.00023799,-8,-1,1
0.015,-0.00071398,-8,-3,-271
0.02,-0.00119,-8,-5,-271
0.025,-0.0016659,-8,-7,-271
0.03,-0.0023799,-8,-10,-256
0.035,-0.0033319,-8,-14,-256
0.04,-0.0040459,-8,-17,-256
0.045,-0.0049978,-8,-21,-256
0.05,-0.0061878,-8,-26,-207
0.055,-0.0071398,-8,-30,-207
0.06,-0.0083297,-8,-35,-207
0.065,-0.0095197,-8,-40,-152
0.07,-0.010948,-8,-46,-152
0.075,-0.012376,-8,-52,-152
0.08,-0.013566,-8,-57,-152
0.085,-0.014994,-8,-63,-176
0.09,-0.016421,-8,-69,-176
0.095,-0.017849,-8,-75,-176
0.1,-0.019277,-8,-81,-176
0.105,-0.020943,-8,-88,-159
0.11,-0.022371,-8,-94,-159
0.115,-0.023799,-8,-100,-159
0.12,-0.025465,-8,-107,-167
0.125,-0.026893,-8,-113,-167
0.13,-0.028559,-8,-120,-167
0.135,-0.029987,-8,-126,-167
0.14,-0.031653,-8,-133,-192
0.145,-0.033319,-8,-140,-192
0.15,-0.034985,-8,-147,-192
0.155,-0.036413,-8,-153,-143
0.16,-0.038079,-8,-160,-143
0.165,-0.039745,-8,-167,-143
0.17,-0.041411,-8,-174,-143
0.175,-0.043077,-8,-181,-127
0.18,-0.044743,-8,-188,-127
0.185,-0.046409,-8,-195,-127
0.19,-0.048074,-8,-202,-176
0.195,-0.049978,-8,-210,-176
0.2,-0.051644,-8,-217,-176
0.205,-0.053548,-8,-225,-176
0.21,-0.055214,-8,-232,-120
0.215,-0.057118,-8,-240,-120
0.22,-0.059022,-8,-248,-120
0.225,-0.060926,-8,-256,-127
0.23,-0.06283,-8,-264,-127
0.235,-0.064734,-8,-272,-127
0.24,-0.066876,-8,-281,-127
0.245,-0.06878,-8,-289,-127
0.25,-0.070922,-8,-298,-127
0.255,-0.072826,-8,-306,-127
0.26,-0.074968,-8,-315,-96
0.265,-0.07711,-8,-324,-96
0.27,-0.079251,-8,-333,-96
0.275,-0.081393,-8,-342,-96
0.28,-0.083535,-8,-351,-120
0.285,-0.085677,-8,-360,-120
0.29,-0.087819,-8,-369,-120
0.295,-0.089961,-8,-378,-120
0.3,-0.092103,-8,-387,-103
0.305,-0.094245,-8,-396,-103
0.31,-0.096625,-8,-406,-103
0.315,-0.098767,-8,-415,-99
0.32,-0.10091,-8,-424,-99
0.325,-0.10329,-8,-434,-99
0.33,-0.10543,-8,-443,-99
0.335,-0.10757,-8,-452,-97
0.34,-0.10971,-8,-461,-97
0.345,-0.11209,-8,-471,-97
0.35,-0.11424,-8,-480,-99
0.355,-0.11638,-8,-489,-99
0.36,-0.11852,-8,-498,-99
0.365,-0.1209,-8,-508,-99
0.37,-0.12304,-8,-517,-96
0.375,-0.12518,-8,-526,-96
0.38,-0.12733,-8,-535,-96
0.385,-0.12947,-8,-544,-92
0.39,-0.13185,-8,-554,-92
0.395,-0.13399,-8,-563,-92
0.4,-0.13613,-8,-572,-92
0.405,-0.13851,-8,-582,-99
0.41,-0.14065,-8,-591,-99
0.415,-0.1428,-8,-600,-99
0.42,-0.14518,-8,-610,-88
0.425,-0.14732,-8,-619,-88
0.43,-0.14946,-8,-628,-88
0.435,-0.15184,-8,-638,-88
0.44,-0.15398,-8,-647,-96
0.445,-0.15636,-8,-657,-96
0.45,-0.15874,-8,-667,-96
0.455,-0.16088,-8,-676,-103
0.46,-0.16326,-8,-686,-103
0.465,-0.16564,-8,-696,-103
0.47,-0.16778,-8,-705,-103
0.475,-0.17016,-8,-715,-97
0.48,-0.17254,-8,-725,-97
0.485,-0.17469,-8,-734,-97
0.49,-0.17707,-8,-744,-97
0.495,-0.17945,-8,-754,-96
0.5,-0.18183,-8,-764,-96
0.505,-0.18421,-8,-774,-96
0.51,-0.18659,-8,-784,-78
0.515,-0.18897,-8,-794,-78
0.52,-0.19135,-8,-804,-78
0.525,-0.19349,-8,-813,-78
0.53,-0.19587,-8,-823,-96
0.535,-0.19825,-8,-833,-96
