Time(s),h(m),V(V),Encoder,ADC
0,0,-3,0,1
0.005,0,-3,0,1
0.01,-0.00023799,-3,-1,1
0.015,-0.00023799,-3,-1,-152
0.02,-0.00023799,-3,-1,-152
0.025,-0.00047598,-3,-2,-152
0.03,-0.00071398,-3,-3,-152
0.035,-0.00071398,-3,-3,-184
0.04,-0.00095197,-3,-4,-184
0.045,-0.00119,-3,-5,-184
0.05,-0.001428,-3,-6,-184
0.055,-0.0019039,-3,-8,-156
0.06,-0.0021419,-3,-9,-156
0.065,-0.0023799,-3,-10,-156
0.07,-0.0028559,-3,-12,-195
0.075,-0.0030939,-3,-13,-195
0.08,-0.0035699,-3,-15,-195
0.085,-0.0038079,-3,-16,-195
0.09,-0.0042839,-3,-18,-159
0.095,-0.0047598,-3,-20,-159
0.1,-0.0049978,-3,-21,-159
0.105,-0.0054738,-3,-23,-143
0.11,-0.0059498,-3,-25,-143
0.115,-0.0064258,-3,-27,-143
0.12,-0.0069018,-3,-29,-143
0.125,-0.0073778,-3,-31,-159
0.13,-0.0076158,-3,-32,-159
0.135,-0.0080917,-3,-34,-159
0.14,-0.0085677,-3,-36,-156
0.145,-0.0090437,-3,-38,-156
0.15,-0.0095197,-3,-40,-156
0.155,-0.0097577,-3,-41,-156
0.16,-0.010234,-3,-43,-159
0.165,-0.01071,-3,-45,-159
0.17,-0.011424,-3,-48,-159
0.175,-0.0119,-3,-50,-159
0.18,-0.012376,-3,-52,-159
0.185,-0.012852,-3,-54,-159
0.19,-0.013328,-3,-56,-159
0.195,-0.013804,-3,-58,-159
0.2,-0.014518,-3,-61,-159
0.205,-0.014994,-3,-63,-159
0.21,-0.01547,-3,-65,-152
0.215,-0.016183,-3,-68,-152
0.22,-0.016659,-3,-70,-152
0.225,-0.017373,-3,-73,-152
0.23,-0.017849,-3,-75,-143
0.235,-0.018325,-3,-77,-143
0.24,-0.019039,-3,-80,-143
0.245,-0.019515,-3,-82,-143
0.25,-0.020229,-3,-85,-156
0.255,-0.020943,-3,-88,-156
0.26,-0.021419,-3,-90,-156
0.265,-0.022133,-3,-93,-159
0.27,-0.022609,-3,-95,-159
0.275,-0.023323,-3,-98,-159
0.28,-0.024037,-3,-101,-159
0.285,-0.024513,-3,-103,-152
0.29,-0.025227,-3,-106,-152
0.295,-0.025941,-3,-109,-152
0.3,-0.026655,-3,-112,-127
0.305,-0.027369,-3,-115,-127
0.31,-0.027845,-3,-117,-127
0.315,-0.028559,-3,-120,-127
0.32,-0.029273,-3,-123,-152
0.325,-0.029987,-3,-126,-152
0.33,-0.030701,-3,-129,-152
0.335,-0.031177,-3,-131,-152
0.34,-0.031891,-3,-134,-152
0.345,-0.032605,-3,-137,-152
0.35,-0.033319,-3,-140,-152
0.355,-0.034033,-3,-143,-152
0.36,-0.034747,-3,-146,-152
0.365,-0.035461,-3,-149,-152
0.37,-0.036175,-3,-152,-127
0.375,-0.036889,-3,-155,-127
0.38,-0.037603,-3,-158,-127
0.385,-0.038317,-3,-161,-127
0.39,-0.039031,-3,-164,-127
0.395,-0.039745,-3,-167,-127
0.4,-0.040459,-3,-170,-127
0.405,-0.041173,-3,-173,-127
0.41,-0.042125,-3,-177,-127
0.415,-0.042839,-3,-180,-127
0.42,-0.043553,-3,-183,-127
0.425,-0.044267,-3,-186,-143
0.43,-0.044981,-3,-189,-143
0.435,-0.045933,-3,-193,-143
0.44,-0.046647,-3,-196,-143
0.445,-0.04736,-3,-199,-152
0.45,-0.048312,-3,-203,-152
0.455,-0.049026,-3,-206,-152
0.46,-0.04974,-3,-209,-152
0.465,-0.050692,-3,-213,-152
0.47,-0.051406,-3,-216,-152
0.475,-0.05212,-3,-219,-152
0.48,-0.053072,-3,-223,-158
0.485,-0.053786,-3,-226,-158
0.49,-0.0545,-3,-229,-158
0.495,-0.055452,-3,-233,-143
0.5,-0.056166,-3,-236,-143
0.505,-0.05688,-3,-239,-143
0.51,-0.057832,-3,-243,-143
0.515,-0.058546,-3,-246,-143
0.52,-0.059498,-3,-250,-143
0.525,-0.060212,-3,-253,-143
0.53,-0.061164,-3,-257,-127
0.535,-0.061878,-3,-260,-127
0.54,-0.06283,-3,-264,-127
0.545,-0.063544,-3,-267,-127
0.55,-0.064496,-3,-271,-113
0.555,-0.065448,-3,-275,-113
