Time(s),h(m),V(V),Encoder,ADC
0,0,3,0,1
0.005,0,3,0,1
0.01,0,3,0,1
0.015,0,3,0,1
0.02,-0.00023799,3,-1,-159
0.025,-0.00023799,3,-1,-159
0.03,-0.00047598,3,-2,-159
0.035,-0.00071398,3,-3,-159
0.04,-0.00095197,3,-4,-152
0.045,-0.00119,3,-5,-152
0.05,-0.001428,3,-6,-152
0.055,-0.0016659,3,-7,-152
0.06,-0.0019039,3,-8,-152
0.065,-0.0023799,3,-10,-152
0.07,-0.0026179,3,-11,-152
0.075,-0.0030939,3,-13,-143
0.08,-0.0035699,3,-15,-143
0.085,-0.0038079,3,-16,-143
0.09,-0.0042839,3,-18,-127
0.095,-0.0047598,3,-20,-127
0.1,-0.0052358,3,-22,-127
0.105,-0.0057118,3,-24,-127
0.11,-0.0061878,3,-26,-127
0.115,-0.0066638,3,-28,-127
0.12,-0.0073778,3,-31,-127
0.125,-0.0078538,3,-33,-127
0.13,-0.0083297,3,-35,-127
0.135,-0.0088057,3,-37,-127
0.14,-0.0095197,3,-40,-127
0.145,-0.0099957,3,-42,-127
0.15,-0.01071,3,-45,-127
0.155,-0.011186,3,-47,-127
0.16,-0.011662,3,-49,-120
0.165,-0.012376,3,-52,-120
0.17,-0.012852,3,-54,-120
0.175,-0.013566,3,-57,-120
0.18,-0.014042,3,-59,-127
0.185,-0.014756,3,-62,-127
0.19,-0.015232,3,-64,-127
0.195,-0.015945,3,-67,-156
0.2,-0.016421,3,-69,-156
0.205,-0.017135,3,-72,-156
0.21,-0.017849,3,-75,-156
0.215,-0.018563,3,-78,-127
0.22,-0.019277,3,-81,-127
0.225,-0.019753,3,-83,-127
0.23,-0.020467,3,-86,-127
0.235,-0.021181,3,-89,-127
0.24,-0.021895,3,-92,-127
0.245,-0.022609,3,-95,-127
0.25,-0.023561,3,-99,-127
0.255,-0.024275,3,-102,-127
0.26,-0.024989,3,-105,-127
0.265,-0.025703,3,-108,-127
0.27,-0.026417,3,-111,-127
0.275,-0.027369,3,-115,-127
0.28,-0.028083,3,-118,-127
0.285,-0.028797,3,-121,-127
0.29,-0.029749,3,-125,-127
0.295,-0.030463,3,-128,-127
0.3,-0.031177,3,-131,-127
0.305,-0.032129,3,-135,-127
0.31,-0.032843,3,-138,-127
0.315,-0.033557,3,-141,-127
0.32,-0.034509,3,-145,-143
0.325,-0.035223,3,-148,-143
0.33,-0.036175,3,-152,-143
0.335,-0.036889,3,-155,-143
0.34,-0.037841,3,-159,-127
0.345,-0.038555,3,-162,-127
0.35,-0.039507,3,-166,-127
0.355,-0.040221,3,-169,-127
0.36,-0.041173,3,-173,-127
0.365,-0.041887,3,-176,-127
0.37,-0.042839,3,-180,-127
0.375,-0.043791,3,-184,-124
0.38,-0.044505,3,-187,-124
0.385,-0.045457,3,-191,-124
0.39,-0.046409,3,-195,-124
0.395,-0.04736,3,-199,-124
0.4,-0.048074,3,-202,-124
0.405,-0.049026,3,-206,-124
0.41,-0.049978,3,-210,-124
0.415,-0.05093,3,-214,-124
0.42,-0.051882,3,-218,-124
0.425,-0.052596,3,-221,-124
0.43,-0.053548,3,-225,-127
0.435,-0.0545,3,-229,-127
0.44,-0.055452,3,-233,-127
0.445,-0.056404,3,-237,-143
0.45,-0.057356,3,-241,-143
0.455,-0.058308,3,-245,-143
0.46,-0.05926,3,-249,-143
0.465,-0.060212,3,-253,-124
0.47,-0.061164,3,-257,-124
0.475,-0.062116,3,-261,-124
0.48,-0.063068,3,-265,-124
0.485,-0.06402,3,-269,-124
0.49,-0.064972,3,-273,-124
0.495,-0.065924,3,-277,-124
0.5,-0.066876,3,-281,-124
0.505,-0.067828,3,-285,-124
0.51,-0.06878,3,-289,-124
0.515,-0.069732,3,-293,-120
0.52,-0.070922,3,-298,-120
0.525,-0.071874,3,-302,-120
0.53,-0.072826,3,-306,-120
0.535,-0.073778,3,-310,-120
0.54,-0.07473,3,-314,-120
0.545,-0.07592,3,-319,-120
0.55,-0.076872,3,-323,-120
0.555,-0.077824,3,-327,-120
0.56,-0.078775,3,-331,-120
0.565,-0.079965,3,-336,-120
0.57,-0.080917,3,-340,-120
0.575,-0.082107,3,-345,-120
0.58,-0.083059,3,-349,-120
0.585,-0.084011,3,-353,-120
0.59,-0.085201,3,-358,-112
