Time(s),h(m),V(V),Encoder,ADC
0,0,8,0,-1
0.005,-0.00023799,8,-1,-1
0.01,-0.00047598,8,-2,-1
0.015,-0.00095197,8,-4,-271
0.02,-0.0016659,8,-7,-271
0.025,-0.0021419,8,-9,-271
0.03,-0.0030939,8,-13,-195
0.035,-0.0040459,8,-17,-195
0.04,-0.0049978,8,-21,-195
0.045,-0.0059498,8,-25,-195
0.05,-0.0071398,8,-30,-172
0.055,-0.0083297,8,-35,-172
0.06,-0.0097577,8,-41,-172
0.065,-0.011186,8,-47,-156
0.07,-0.012614,8,-53,-156
0.075,-0.014042,8,-59,-156
0.08,-0.015708,8,-66,-156
0.085,-0.017135,8,-72,-143
0.09,-0.018801,8,-79,-143
0.095,-0.020467,8,-86,-143
0.1,-0.022133,8,-93,-127
0.105,-0.023799,8,-100,-127
0.11,-0.025465,8,-107,-127
0.115,-0.027369,8,-115,-127
0.12,-0.029035,8,-122,-112
0.125,-0.030701,8,-129,-112
0.13,-0.032605,8,-137,-112
0.135,-0.034509,8,-145,-120
0.14,-0.036175,8,-152,-120
0.145,-0.038079,8,-160,-120
0.15,-0.039983,8,-168,-120
0.155,-0.041649,8,-175,-127
0.16,-0.043553,8,-183,-127
0.165,-0.045457,8,-191,-127
0.17,-0.04736,8,-199,-127
0.175,-0.049264,8,-207,-120
0.18,-0.051406,8,-216,-120
0.185,-0.05331,8,-224,-120
0.19,-0.055452,8,-233,-112
0.195,-0.057356,8,-241,-112
0.2,-0.059498,8,-250,-112
0.205,-0.06164,8,-259,-112
0.21,-0.063782,8,-268,-96
0.215,-0.065924,8,-277,-96
0.22,-0.068066,8,-286,-96
0.225,-0.070208,8,-295,-99
0.23,-0.072588,8,-305,-99
0.235,-0.074968,8,-315,-99
0.24,-0.07711,8,-324,-99
0.245,-0.079489,8,-334,-92
0.25,-0.081869,8,-344,-92
0.255,-0.084249,8,-354,-92
0.26,-0.086629,8,-364,-96
0.265,-0.089009,8,-374,-96
0.27,-0.091627,8,-385,-96
0.275,-0.094007,8,-395,-96
0.28,-0.096387,8,-405,-88
0.285,-0.098767,8,-415,-88
0.29,-0.10138,8,-426,-88
0.295,-0.10376,8,-436,-88
0.3,-0.10638,8,-447,-88
0.305,-0.10876,8,-457,-88
0.31,-0.11114,8,-467,-88
0.315,-0.11376,8,-478,-92
0.32,-0.11614,8,-488,-92
0.325,-0.11876,8,-499,-92
0.33,-0.12114,8,-509,-92
0.335,-0.12376,8,-520,-92
0.34,-0.12614,8,-530,-92
0.345,-0.12852,8,-540,-92
0.35,-0.13113,8,-551,-71
0.355,-0.13351,8,-561,-71
0.36,-0.13589,8,-571,-71
0.365,-0.13851,8,-582,-71
0.37,-0.14089,8,-592,-88
0.375,-0.14351,8,-603,-88
0.38,-0.14589,8,-613,-88
0.385,-0.14851,8,-624,-79
0.39,-0.15089,8,-634,-79
0.395,-0.15351,8,-645,-79
0.4,-0.15589,8,-655,-79
0.405,-0.1585,8,-666,-79
0.41,-0.16112,8,-677,-79
0.415,-0.16374,8,-688,-79
0.42,-0.16612,8,-698,-79
0.425,-0.16874,8,-709,-79
0.43,-0.17135,8,-720,-79
0.435,-0.17397,8,-731,-79
0.44,-0.17659,8,-742,-63
0.445,-0.17921,8,-753,-63
0.45,-0.18183,8,-764,-63
0.455,-0.18444,8,-775,-79
0.46,-0.18706,8,-786,-79
0.465,-0.18968,8,-797,-79
0.47,-0.19254,8,-809,-79
0.475,-0.19515,8,-820,-76
0.48,-0.19777,8,-831,-76
0.485,-0.20039,8,-842,-76
0.49,-0.20301,8,-853,-71
0.495,-0.20563,8,-864,-71
0.5,-0.20824,8,-875,-71
0.505,-0.2111,8,-887,-71
0.51,-0.21372,8,-898,-71
0.515,-0.21634,8,-909,-71
0.52,-0.21895,8,-920,-71
0.525,-0.22157,8,-931,-71
0.53,-0.22419,8,-942,-71
0.535,-0.22681,8,-953,-71
0.54,-0.22942,8,-964,-71
0.545,-0.23204,8,-975,-71
0.55,-0.23466,8,-986,-71
0.555,-0.23728,8,-997,-71
0.56,-0.2399,8,-1008,-71
0.565,-0.24251,8,-1019,-76
0.57,-0.24513,8,-1030,-76
0.575,-0.24775,8,-1041,-76
0.58,-0.25037,8,-1052,-60
0.585,-0.25299,8,-1063,-60
0.59,-0.2556,8,-1074,-60
0.595,-0.25822,8,-1085,-60
0.6,-0.26108,8,-1097,-78
0.605,-0.2637,8,-1108,-78
0.61,-0.26631,8,-1119,-78
0.615,-0.26893,8,-1130,-71
0.62,-0.27155,8,-1141,-71
0.625,-0.27417,8,-1152,-71
0.63,-0.27702,8,-1164,-71
0.635,-0.27964,8,-1175,-63
0.64,-0.28226,8,-1186,-63
0.645,-0.28488,8,-1197,-63
0.65,-0.28773,8,-1209,-63
0.655,-0.29035,8,-1220,-63
0.66,-0.29297,8,-1231,-63
0.665,-0.29582,8,-1243,-63
