Time(s), V(V),Encoder,ADC
1.06,-2.2474,-2553,224
1.065,-2.4323,-2566,224
1.07,-2.6165,-2578,224
1.075,-2.8002,-2590,224
1.08,-2.9831,-2601,256
1.085,-3.1653,-2613,256
1.09,-3.3467,-2623,256
1.095,-3.5273,-2634,256
1.1,-3.707,-2644,270
1.105,-3.8858,-2654,270
1.11,-4.0637,-2663,270
1.115,-4.2405,-2672,295
1.12,-4.4163,-2681,295
1.125,-4.591,-2689,295
1.13,-4.7646,-2697,295
1.135,-4.937,-2703,304
1.14,-5.1082,-2710,304
1.145,-5.2781,-2716,304
1.15,-5.4467,-2722,295
1.155,-5.614,-2727,295
1.16,-5.7799,-2731,295
1.165,-5.9443,-2735,295
1.17,-6.1073,-2738,263
1.175,-6.2688,-2741,263
1.18,-6.4288,-2743,263
1.185,-6.5871,-2745,280
1.19,-6.7439,-2746,280
1.195,-6.8989,-2747,280
1.2,-7.0523,-2747,280
1.205,-7.2039,-2746,224
1.21,-7.3538,-2745,224
1.215,-7.5018,-2743,224
1.22,-7.648,-2741,220
1.225,-7.7923,-2738,220
1.23,-7.9347,-2735,220
1.235,-8.0751,-2732,220
1.24,-8.2135,-2728,199
1.245,-8.3499,-2723,199
1.25,-8.4843,-2718,199
1.255,-8.6165,-2713,152
1.26,-8.7466,-2707,152
1.265,-8.8746,-2701,152
1.27,-9.0004,-2695,152
1.275,-9.1239,-2688,127
1.28,-9.2452,-2681,127
1.285,-9.3642,-2673,127
1.29,-9.481,-2665,127
1.295,-9.5953,-2657,120
1.3,-9.7073,-2648,120
1.305,-9.8169,-2639,120
1.31,-9.9241,-2630,120
1.315,-10.029,-2621,120
1.32,-10.131,-2611,120
1.325,-10.231,-2601,120
1.33,-10.328,-2590,79
1.335,-10.423,-2580,79
1.34,-10.515,-2569,79
1.345,-10.604,-2558,76
1.35,-10.691,-2547,76
1.355,-10.776,-2536,76
1.36,-10.857,-2524,76
1.365,-10.936,-2512,63
1.37,-11.012,-2500,63
1.375,-11.086,-2488,63
1.38,-11.157,-2476,49
1.385,-11.225,-2463,49
1.39,-11.29,-2451,49
1.395,-11.353,-2438,49
1.4,-11.412,-2425,48
1.405,-11.469,-2412,48
1.41,-11.523,-2399,48
1.415,-11.574,-2386,39
1.42,-11.623,-2372,39
1.425,-11.668,-2359,39
1.43,-11.711,-2345,39
1.435,-11.75,-2331,31
1.44,-11.787,-2317,31
1.445,-11.821,-2304,31
1.45,-11.852,-2290,31
1.455,-11.88,-2276,31
1.46,-11.905,-2262,31
1.465,-11.927,-2247,31
1.47,-11.947,-2233,30
1.475,-11.963,-2219,30
1.48,-11.976,-2204,30
1.485,-11.987,-2190,30
1.49,-11.994,-2175,24
1.495,-11.998,-2161,24
1.5,-12,-2146,24
1.505,-11.999,-2131,24
1.51,-11.994,-2117,24
1.515,-11.987,-2102,24
1.52,-11.976,-2087,24
1.525,-11.963,-2072,28
1.53,-11.947,-2057,28
1.535,-11.928,-2042,28
1.54,-11.906,-2027,19
1.545,-11.881,-2012,19
1.55,-11.853,-1997,19
1.555,-11.822,-1982,19
1.56,-11.788,-1967,24
1.565,-11.751,-1952,24
1.57,-11.711,-1937,24
1.575,-11.669,-1921,7
1.58,-11.623,-1906,7
1.585,-11.575,-1891,7
1.59,-11.524,-1876,7
1.595,-11.47,-1860,15
1.6,-11.413,-1845,15
1.605,-11.354,-1830,15
1.61,-11.291,-1814,3
1.615,-11.226,-1799,3
1.62,-11.158,-1784,3
1.625,-11.087,-1768,3
1.63,-11.014,-1753,24
1.635,-10.938,-1738,24
1.64,-10.859,-1722,24
1.645,-10.777,-1707,24
1.65,-10.693,-1692,15
1.655,-10.606,-1676,15
1.66,-10.517,-1661,15
1.665,-10.425,-1645,15
1.67,-10.33,-1630,15
1.675,-10.233,-1615,15
1.68,-10.133,-1599,15
1.685,-10.031,-1584,15
1.69,-9.9261,-1569,15
1.695,-9.8189,-1553,15
1.7,-9.7093,-1538,15
1.705,-9.5974,-1523,15
1.71,-9.4831,-1507,15
1.715,-9.3664,-1492,15
1.72,-9.2474,-1477,15
1.725,-9.1262,-1461,15
1.73,-9.0026,-1446,15
1.735,-8.8769,-1430,28
1.74,-8.749,-1415,28
1.745,-8.6189,-1400,28
1.75,-8.4867,-1384,28
1.755,-8.3524,-1369,24
1.76,-8.216,-1354,24
1.765,-8.0776,-1338,24
1.77,-7.9373,-1323,15
1.775,-7.7949,-1308,15
1.78,-7.6507,-1293,15
1.785,-7.5045,-1277,15
1.79,-7.3565,-1262,15
1.795,-7.2067,-1247,15
1.8,-7.0551,-1232,15
1.805,-6.9017,-1217,15
1.81,-6.7467,-1201,15
1.815,-6.59,-1186,15
1.82,-6.4317,-1171,15
1.825,-6.2718,-1156,24
1.83,-6.1103,-1141,24
1.835,-5.9473,-1126,24
1.84,-5.7829,-1111,24
1.845,-5.617,-1095,15
1.85,-5.4498,-1080,15
1.855,-5.2812,-1065,15
1.86,-5.1113,-1050,15
1.865,-4.9401,-1035,15
1.87,-4.7677,-1020,15
1.875,-4.5942,-1005,15
1.88,-4.4195,-991,15
1.885,-4.2437,-976,15
1.89,-4.0669,-961,15
1.895,-3.8891,-946,24
1.9,-3.7103,-931,24
1.905,-3.5306,-917,24
1.91,-3.35,-902,24
1.915,-3.1686,-887,31
1.92,-2.9864,-873,31
1.925,-2.8035,-858,31
1.93,-2.6199,-843,24
1.935,-2.4356,-829,24
1.94,-2.2508,-815,24
1.945,-2.0653,-800,24
1.95,-1.8794,-786,24
1.955,-1.693,-771,24
1.96,-1.5062,-757,24
1.965,-1.319,-743,30
1.97,-1.1315,-729,30
1.975,-0.94376,-715,30
1.98,-0.75575,-700,30
1.985,-0.56754,-686,12
1.99,-0.3792,-672,12
