Time(s), V(V),Encoder,ADC
0,0,0,1
0.005,0.18848,0,1
0.01,0.37692,0,-1
0.015,0.56526,0,-1
0.02,0.75346,0,-1
0.025,0.94148,0,-1
0.03,1.1293,0,63
0.035,1.3168,0,63
0.04,1.504,0,63
0.045,1.6908,1,103
0.05,1.8772,1,103
0.055,2.0631,1,103
0.06,2.2485,1,103
0.065,2.4334,2,143
0.07,2.6176,2,143
0.075,2.8013,3,143
0.08,2.9842,3,224
0.085,3.1664,4,224
0.09,3.3478,5,224
0.095,3.5284,6,224
0.1,3.7081,7,167
0.105,3.8869,9,167
0.11,4.0647,10,167
0.115,4.2416,12,192
0.12,4.4174,14,192
0.125,4.5921,16,192
0.13,4.7656,19,192
0.135,4.938,22,184
0.14,5.1092,25,184
0.145,5.2791,28,184
0.15,5.4477,31,184
0.155,5.615,35,195
0.16,5.7809,39,195
0.165,5.9453,43,195
0.17,6.1083,48,192
0.175,6.2698,52,192
0.18,6.4298,57,192
0.185,6.5881,63,192
0.19,6.7448,68,159
0.195,6.8999,74,159
0.2,7.0532,80,159
0.205,7.2049,86,127
0.21,7.3547,93,127
0.215,7.5027,100,127
0.22,7.6489,107,127
0.225,7.7932,115,127
0.23,7.9355,122,127
0.235,8.076,130,127
0.24,8.2144,138,103
0.245,8.3508,147,103
0.25,8.4851,155,103
0.255,8.6173,164,103
0.26,8.7474,173,120
0.265,8.8754,183,120
0.27,9.0011,192,120
0.275,9.1247,202,120
0.28,9.246,212,120
0.285,9.365,222,120
0.29,9.4817,233,120
0.295,9.596,243,88
0.3,9.708,254,88
0.305,9.8176,265,88
0.31,9.9248,276,63
0.315,10.029,288,63
0.32,10.132,299,63
0.325,10.231,310,63
0.33,10.329,322,60
0.335,10.423,334,60
0.34,10.515,346,60
0.345,10.605,358,60
0.35,10.692,371,31
0.355,10.776,383,31
0.36,10.858,396,31
0.365,10.937,408,35
0.37,11.013,421,35
0.375,11.086,434,35
0.38,11.157,447,35
0.385,11.225,460,48
0.39,11.29,473,48
0.395,11.353,486,48
0.4,11.413,500,39
0.405,11.469,513,39
0.41,11.523,527,39
0.415,11.575,540,39
0.42,11.623,554,28
0.425,11.668,568,28
0.43,11.711,582,28
0.435,11.751,596,31
0.44,11.787,610,31
0.445,11.821,624,31
0.45,11.852,638,31
0.455,11.88,652,31
0.46,11.905,666,31
0.465,11.927,680,31
0.47,11.947,694,31
0.475,11.963,709,31
0.48,11.976,723,31
0.485,11.987,738,31
0.49,11.994,752,24
0.495,11.999,767,24
0.5,12,781,24
0.505,11.999,796,39
0.51,11.994,810,39
0.515,11.987,825,39
0.52,11.976,840,39
0.525,11.963,854,28
0.53,11.947,869,28
0.535,11.928,884,28
0.54,11.905,899,28
0.545,11.88,914,24
0.55,11.852,929,24
0.555,11.821,944,24
0.56,11.788,958,15
0.565,11.751,974,15
0.57,11.711,988,15
0.575,11.669,1004,15
0.58,11.623,1018,7
0.585,11.575,1034,7
0.59,11.524,1049,7
0.595,11.47,1064,31
0.6,11.413,1079,31
0.605,11.353,1094,31
0.61,11.291,1109,31
0.615,11.226,1124,15
0.62,11.158,1139,15
0.625,11.087,1154,15
0.63,11.013,1169,24
0.635,10.937,1184,24
0.64,10.858,1200,24
0.645,10.777,1215,24
0.65,10.692,1230,24
0.655,10.606,1245,24
0.66,10.516,1260,24
0.665,10.424,1275,15
0.67,10.329,1290,15
0.675,10.232,1306,15
0.68,10.132,1321,15
0.685,10.03,1336,15
0.69,9.9254,1351,15
0.695,9.8183,1366,15
0.7,9.7087,1382,15
0.705,9.5967,1397,15
0.71,9.4824,1412,15
0.715,9.3657,1427,15
0.72,9.2467,1442,24
0.725,9.1254,1457,24
0.73,9.0019,1472,24
0.735,8.8761,1487,24
0.74,8.7482,1502,24
0.745,8.6181,1518,24
0.75,8.4859,1533,24
0.755,8.3516,1548,24
0.76,8.2152,1563,24
0.765,8.0768,1578,24
0.77,7.9364,1593,24
0.775,7.794,1608,19
0.78,7.6498,1623,19
0.785,7.5036,1638,19
0.79,7.3556,1653,24
0.795,7.2058,1668,24
0.8,7.0542,1683,24
0.805,6.9008,1698,24
0.81,6.7458,1713,24
0.815,6.5891,1728,24
0.82,6.4307,1743,24
0.825,6.2708,1758,15
0.83,6.1093,1773,15
0.835,5.9463,1788,15
0.84,5.7819,1802,15
0.845,5.616,1817,31
0.85,5.4487,1832,31
0.855,5.2801,1847,31
0.86,5.1102,1861,28
0.865,4.9391,1876,28
0.87,4.7667,1891,28
0.875,4.5931,1905,28
0.88,4.4184,1920,24
0.885,4.2426,1935,24
0.89,4.0658,1949,24
0.895,3.888,1964,24
0.9,3.7092,1978,24
0.905,3.5295,1993,24
0.91,3.3489,2007,24
0.915,3.1675,2022,28
0.92,2.9853,2036,28
0.925,2.8024,2050,28
0.93,2.6188,2064,28
0.935,2.4345,2079,24
0.94,2.2496,2093,24
0.945,2.0642,2107,24
0.95,1.8783,2121,31
0.955,1.6919,2135,31
0.96,1.5051,2149,31
0.965,1.3179,2163,31
0.97,1.1304,2177,15
0.975,0.94262,2191,15
0.98,0.7546,2204,15
0.985,0.5664,2218,24
0.99,0.37806,2232,24
0.995,0.18962,2246,24
1,0.0011405,2259,24
1.005,-0.18734,2272,3
1.01,-0.37578,2286,3
1.015,-0.56412,2299,3
1.02,-0.75233,2312,-63
1.025,-0.94034,2326,-63
1.03,-1.1281,2339,-63
1.035,-1.3156,2352,-63
1.04,-1.5028,2364,-163
1.045,-1.6896,2377,-163
1.05,-1.876,2389,-163
1.055,-2.062,2402,-224
1.06,-2.2474,2414,-224
1.065,-2.4323,2425,-224
1.07,-2.6165,2437,-224
1.075,-2.8002,2448,-256
1.08,-2.9831,2459,-256
1.085,-3.1653,2469,-256
1.09,-3.3467,2480,-284
1.095,-3.5273,2490,-284
1.1,-3.707,2499,-284
1.105,-3.8858,2508,-284
1.11,-4.0637,2517,-287
1.115,-4.2405,2525,-287
1.12,-4.4163,2533,-287
1.125,-4.591,2541,-287
1.13,-4.7646,2547,-312
1.135,-4.937,2554,-312
1.14,-5.1082,2560,-312
1.145,-5.2781,2565,-319
1.15,-5.4467,2570,-319
1.155,-5.614,2574,-319
1.16,-5.7799,2578,-319
1.165,-5.9443,2582,-318
