Time(s), V(V),Encoder,ADC
0,6,0,-1
0.005,6.0471,0,-1
0.01,6.0942,0,-1
0.015,6.1414,1,-1
0.02,6.1885,2,256
0.025,6.2356,4,256
0.03,6.2826,6,256
0.035,6.3297,8,256
0.04,6.3767,11,207
0.045,6.4237,14,207
0.05,6.4707,17,207
0.055,6.5177,21,184
0.06,6.5646,25,184
0.065,6.6115,30,184
0.07,6.6584,34,184
0.075,6.7052,39,184
0.08,6.752,45,184
0.085,6.7987,50,184
0.09,6.8454,56,126
0.095,6.892,63,126
0.1,6.9386,69,126
0.105,6.9851,76,126
0.11,7.0315,83,127
0.115,7.0779,90,127
0.12,7.1243,98,127
0.125,7.1705,106,120
0.13,7.2167,114,120
0.135,7.2628,122,120
0.14,7.3088,130,120
0.145,7.3548,139,112
0.15,7.4006,148,112
0.155,7.4464,157,112
0.16,7.4921,166,92
0.165,7.5377,175,92
0.17,7.5832,185,92
0.175,7.6286,195,92
0.18,7.6739,204,92
0.185,7.7191,215,92
0.19,7.7642,225,92
0.195,7.8092,235,92
0.2,7.854,246,63
0.205,7.8988,256,63
0.21,7.9434,267,63
0.215,7.988,278,78
0.22,8.0324,289,78
0.225,8.0766,301,78
0.23,8.1208,312,78
0.235,8.1648,323,63
0.24,8.2087,335,63
0.245,8.2524,347,63
0.25,8.296,358,63
0.255,8.3395,370,63
0.26,8.3828,382,63
0.265,8.426,395,63
0.27,8.469,407,60
0.275,8.5119,419,60
0.28,8.5546,432,60
0.285,8.5972,444,56
0.29,8.6396,457,56
0.295,8.6818,470,56
0.3,8.7239,482,56
0.305,8.7658,495,56
0.31,8.8075,508,56
0.315,8.8491,521,56
0.32,8.8904,534,44
0.325,8.9316,548,44
0.33,8.9727,561,44
0.335,9.0135,574,44
0.34,9.0542,588,39
0.345,9.0946,601,39
0.35,9.1349,615,39
0.355,9.175,628,39
0.36,9.2149,642,39
0.365,9.2546,656,39
0.37,9.294,669,39
0.375,9.3333,683,31
0.38,9.3724,697,31
0.385,9.4113,711,31
0.39,9.4499,725,31
0.395,9.4884,739,39
0.4,9.5266,753,39
0.405,9.5646,767,39
0.41,9.6024,781,28
0.415,9.64,795,28
0.42,9.6773,810,28
0.425,9.7145,824,28
0.43,9.7514,838,31
0.435,9.788,852,31
0.44,9.8244,867,31
0.445,9.8606,881,15
0.45,9.8966,895,15
0.455,9.9323,910,15
0.46,9.9678,924,15
0.465,10.003,939,31
0.47,10.038,953,31
0.475,10.073,968,31
0.48,10.107,983,31
0.485,10.141,997,31
0.49,10.175,1012,31
0.495,10.209,1027,31
0.5,10.243,1041,24
0.505,10.276,1056,24
0.51,10.309,1071,24
0.515,10.341,1086,24
0.52,10.374,1101,24
0.525,10.406,1116,24
0.53,10.438,1130,24
0.535,10.469,1145,35
0.54,10.501,1160,35
0.545,10.532,1175,35
0.55,10.562,1190,28
0.555,10.593,1206,28
0.56,10.623,1220,28
0.565,10.653,1236,28
0.57,10.682,1251,24
0.575,10.712,1266,24
0.58,10.741,1281,24
0.585,10.77,1296,24
0.59,10.798,1311,24
0.595,10.826,1326,24
0.6,10.854,1342,24
0.605,10.882,1357,17
0.61,10.909,1372,17
0.615,10.936,1387,17
0.62,10.962,1403,17
0.625,10.989,1418,24
0.63,11.015,1433,24
0.635,11.04,1449,24
0.64,11.066,1464,15
0.645,11.091,1479,15
0.65,11.116,1495,15
0.655,11.14,1510,15
0.66,11.164,1526,15
0.665,11.188,1541,15
0.67,11.212,1556,15
0.675,11.235,1572,19
0.68,11.258,1587,19
0.685,11.28,1603,19
0.69,11.303,1618,19
0.695,11.324,1634,24
0.7,11.346,1650,24
0.705,11.367,1665,24
0.71,11.388,1680,24
0.715,11.409,1696,24
0.72,11.429,1712,24
0.725,11.449,1727,24
0.73,11.468,1743,15
0.735,11.488,1759,15
0.74,11.506,1774,15
0.745,11.525,1790,15
0.75,11.543,1806,15
0.755,11.561,1821,15
0.76,11.579,1837,15
0.765,11.596,1852,15
