Time(s), V(V),Encoder,ADC
0,0,0,-1
0.005,0.075396,0,-1
0.01,0.15079,0,-1
0.015,0.22617,0,-1
0.02,0.30155,0,-1
0.025,0.37692,0,-30
0.03,0.45227,0,-30
0.035,0.5276,0,-30
0.04,0.60291,0,-48
0.045,0.6782,0,-48
0.05,0.75346,0,-48
0.055,0.8287,0,-48
0.06,0.90389,0,-63
0.065,0.97906,0,-63
0.07,1.0542,0,-63
0.075,1.1293,0,-96
0.08,1.2043,0,-96
0.085,1.2793,0,-96
0.09,1.3542,0,-96
0.095,1.4291,0,-103
0.1,1.504,0,-103
0.105,1.5787,0,-103
0.11,1.6534,-1,-103
0.115,1.7281,-1,-96
0.12,1.8027,-1,-96
0.125,1.8772,-2,-96
0.13,1.9516,-2,-108
0.135,2.0259,-2,-108
0.14,2.1002,-3,-108
0.145,2.1744,-4,-108
0.15,2.2485,-4,-127
0.155,2.3225,-5,-127
0.16,2.3964,-6,-127
0.165,2.4703,-7,-127
0.17,2.544,-8,-127
0.175,2.6176,-10,-127
0.18,2.6912,-11,-127
0.185,2.7646,-13,-124
0.19,2.8379,-14,-124
0.195,2.9111,-16,-124
0.2,2.9842,-18,-127
0.205,3.0572,-20,-127
0.21,3.13,-22,-127
0.215,3.2027,-24,-127
0.22,3.2753,-26,-127
0.225,3.3478,-29,-127
0.23,3.4201,-32,-127
0.235,3.4923,-34,-127
0.24,3.5644,-37,-127
0.245,3.6363,-40,-127
0.25,3.7081,-44,-127
0.255,3.7797,-47,-127
0.26,3.8512,-51,-127
0.265,3.9225,-55,-127
0.27,3.9937,-58,-143
0.275,4.0647,-63,-143
0.28,4.1356,-67,-143
0.285,4.2063,-71,-143
0.29,4.2768,-76,-152
0.295,4.3472,-80,-152
0.3,4.4174,-85,-152
0.305,4.4874,-90,-152
0.31,4.5572,-96,-127
0.315,4.6269,-101,-127
0.32,4.6964,-106,-127
0.325,4.7656,-112,-127
0.33,4.8347,-118,-127
0.335,4.9037,-124,-127
0.34,4.9724,-130,-127
0.345,5.0409,-137,-124
0.35,5.1092,-143,-124
0.355,5.1773,-150,-124
0.36,5.2452,-157,-103
0.365,5.313,-164,-103
0.37,5.3804,-171,-103
0.375,5.4477,-179,-103
0.38,5.5148,-186,-92
0.385,5.5817,-194,-92
0.39,5.6483,-202,-92
0.395,5.7147,-210,-108
0.4,5.7809,-218,-108
0.405,5.8468,-226,-108
0.41,5.9126,-235,-108
0.415,5.9781,-244,-99
0.42,6.0433,-252,-99
0.425,6.1083,-261,-99
0.43,6.1731,-270,-83
0.435,6.2376,-280,-83
0.44,6.3019,-289,-83
0.445,6.366,-298,-83
0.45,6.4297,-308,-88
0.455,6.4933,-318,-88
0.46,6.5566,-328,-88
0.465,6.6196,-338,-88
0.47,6.6823,-348,-88
0.475,6.7448,-358,-88
0.48,6.807,-369,-88
0.485,6.869,-379,-63
0.49,6.9307,-390,-63
0.495,6.9921,-401,-63
0.5,7.0532,-411,-63
0.505,7.1141,-422,-71
0.51,7.1747,-434,-71
0.515,7.235,-445,-71
0.52,7.295,-456,-56
0.525,7.3547,-467,-56
0.53,7.4141,-479,-56
0.535,7.4733,-491,-56
0.54,7.5321,-502,-62
0.545,7.5907,-514,-62
0.55,7.6489,-526,-62
0.555,7.7068,-538,-56
0.56,7.7645,-550,-56
0.565,7.8218,-562,-56
0.57,7.8788,-575,-56
0.575,7.9355,-587,-49
0.58,7.9919,-600,-49
0.585,8.048,-612,-49
0.59,8.1038,-625,-48
0.595,8.1592,-637,-48
0.6,8.2144,-650,-48
0.605,8.2692,-663,-48
0.61,8.3236,-676,-39
0.615,8.3778,-689,-39
0.62,8.4316,-702,-39
0.625,8.4851,-715,-48
0.63,8.5382,-728,-48
0.635,8.591,-742,-48
0.64,8.6435,-755,-48
0.645,8.6956,-768,-39
0.65,8.7474,-782,-39
0.655,8.7989,-795,-39
0.66,8.85,-809,-39
0.665,8.9007,-823,-39
0.67,8.9511,-836,-39
0.675,9.0011,-850,-39
0.68,9.0508,-864,-31
0.685,9.1001,-878,-31
0.69,9.1491,-892,-31
0.695,9.1977,-906,-31
0.7,9.246,-920,-31
0.705,9.2938,-934,-31
0.71,9.3413,-948,-31
0.715,9.3885,-962,-31
0.72,9.4353,-976,-31
0.725,9.4817,-990,-31
0.73,9.5277,-1005,-31
0.735,9.5733,-1019,-31
0.74,9.6186,-1034,-31
0.745,9.6635,-1048,-31
0.75,9.708,-1062,-31
0.755,9.7521,-1077,-31
0.76,9.7959,-1092,-31
0.765,9.8392,-1106,-31
0.77,9.8822,-1121,-30
0.775,9.9248,-1136,-30
0.78,9.967,-1150,-30
0.785,10.009,-1165,-28
0.79,10.05,-1180,-28
0.795,10.091,-1194,-28
0.8,10.132,-1209,-28
0.805,10.172,-1224,-24
0.81,10.212,-1239,-24
0.815,10.251,-1254,-24
0.82,10.29,-1269,-24
