Time(s), V(V),Encoder,ADC
0,-6,0,-1
0.005,-5.9058,0,-1
0.01,-5.8115,0,-1
0.015,-5.7174,0,-1
0.02,-5.6233,1,-1
0.025,-5.5293,2,199
0.03,-5.4354,4,199
0.035,-5.3416,6,199
0.04,-5.248,8,167
0.045,-5.1546,11,167
0.05,-5.0614,14,167
0.055,-4.9685,17,167
0.06,-4.8757,21,127
0.065,-4.7833,24,127
0.07,-4.6912,28,127
0.075,-4.5994,33,159
0.08,-4.5079,37,159
0.085,-4.4168,42,159
0.09,-4.3261,46,159
0.095,-4.2358,52,127
0.1,-4.146,57,127
0.105,-4.0566,62,127
0.11,-3.9676,68,120
0.115,-3.8792,73,120
0.12,-3.7913,79,120
0.125,-3.704,85,120
0.13,-3.6172,91,120
0.135,-3.531,97,120
0.14,-3.4454,103,120
0.145,-3.3604,110,120
0.15,-3.2761,116,92
0.155,-3.1925,123,92
0.16,-3.1096,129,92
0.165,-3.0273,136,96
0.17,-2.9458,143,96
0.175,-2.8651,150,96
0.18,-2.7851,156,96
0.185,-2.7059,164,79
0.19,-2.6276,170,79
0.195,-2.5501,178,79
0.2,-2.4734,185,92
0.205,-2.3976,192,92
0.21,-2.3227,199,92
0.215,-2.2486,206,92
0.22,-2.1756,213,79
0.225,-2.1034,220,79
0.23,-2.0322,228,79
0.235,-1.962,235,71
0.24,-1.8928,242,71
0.245,-1.8246,250,71
0.25,-1.7575,257,71
0.255,-1.6913,264,71
0.26,-1.6263,272,71
0.265,-1.5623,279,71
0.27,-1.4994,286,63
0.275,-1.4377,294,63
0.28,-1.377,301,63
0.285,-1.3175,308,63
0.29,-1.2592,315,63
0.295,-1.202,323,63
0.3,-1.146,330,63
0.305,-1.0912,337,63
0.31,-1.0376,344,63
0.315,-0.98525,351,63
0.32,-0.93413,358,63
0.325,-0.88426,366,56
0.33,-0.83564,373,56
0.335,-0.7883,380,56
0.34,-0.74225,387,56
0.345,-0.6975,394,31
0.35,-0.65405,401,31
0.355,-0.61192,408,31
0.36,-0.57112,414,30
0.365,-0.53167,421,30
0.37,-0.49356,428,30
0.375,-0.4568,435,30
0.38,-0.42142,442,28
0.385,-0.38741,448,28
0.39,-0.35479,455,28
