Time(s), V(V),Encoder,ADC
0,6,0,-1
0.005,6.0942,0,1
0.01,6.1885,0,1
0.015,6.2826,0,1
0.02,6.3767,-1,1
0.025,6.4707,-2,-199
0.03,6.5646,-4,-199
0.035,6.6584,-6,-199
0.04,6.752,-8,-159
0.045,6.8454,-11,-159
0.05,6.9386,-15,-159
0.055,7.0315,-18,-159
0.06,7.1243,-22,-167
0.065,7.2167,-27,-167
0.07,7.3088,-32,-167
0.075,7.4006,-37,-159
0.08,7.4921,-43,-159
0.085,7.5832,-49,-159
0.09,7.6739,-55,-159
0.095,7.7642,-62,-143
0.1,7.854,-69,-143
0.105,7.9434,-76,-143
0.11,8.0324,-84,-124
0.115,8.1208,-92,-124
0.12,8.2087,-100,-124
0.125,8.296,-109,-124
0.13,8.3828,-117,-112
0.135,8.469,-126,-112
0.14,8.5546,-136,-112
0.145,8.6396,-145,-112
0.15,8.7239,-155,-96
0.155,8.8075,-165,-96
0.16,8.8904,-175,-96
0.165,8.9727,-185,-83
0.17,9.0542,-196,-83
0.175,9.1349,-207,-83
0.18,9.2149,-218,-83
0.185,9.2941,-229,-79
0.19,9.3724,-241,-79
0.195,9.4499,-252,-79
0.2,9.5266,-264,-63
0.205,9.6024,-276,-63
0.21,9.6773,-288,-63
0.215,9.7514,-300,-63
0.22,9.8244,-312,-56
0.225,9.8966,-325,-56
0.23,9.9678,-337,-56
0.235,10.038,-350,-56
0.24,10.107,-363,-56
0.245,10.175,-376,-56
0.25,10.243,-389,-56
0.255,10.309,-403,-48
0.26,10.374,-416,-48
0.265,10.438,-429,-48
0.27,10.501,-443,-44
0.275,10.562,-457,-44
0.28,10.623,-471,-44
0.285,10.682,-484,-44
0.29,10.741,-498,-39
0.295,10.798,-512,-39
0.3,10.854,-527,-39
0.305,10.909,-541,-39
0.31,10.962,-555,-39
0.315,11.015,-570,-39
0.32,11.066,-584,-39
0.325,11.116,-599,-35
0.33,11.164,-613,-35
0.335,11.212,-628,-35
0.34,11.258,-643,-35
0.345,11.303,-657,-31
0.35,11.346,-672,-31
0.355,11.388,-687,-31
0.36,11.429,-702,-28
0.365,11.468,-717,-28
0.37,11.506,-733,-28
0.375,11.543,-748,-28
0.38,11.579,-763,-28
0.385,11.613,-778,-28
0.39,11.645,-793,-28
0.395,11.676,-809,-30
0.4,11.706,-824,-30
0.405,11.735,-839,-30
0.41,11.762,-855,-30
0.415,11.787,-871,-24
0.42,11.811,-886,-24
0.425,11.834,-902,-24
0.43,11.855,-917,-28
0.435,11.875,-933,-28
0.44,11.894,-949,-28
0.445,11.911,-964,-28
0.45,11.926,-980,-24
0.455,11.94,-996,-24
0.46,11.953,-1012,-24
0.465,11.964,-1028,-15
0.47,11.973,-1043,-15
0.475,11.981,-1059,-15
0.48,11.988,-1075,-15
0.485,11.993,-1091,-24
0.49,11.997,-1107,-24
0.495,11.999,-1123,-24
0.5,12,-1139,-15
0.505,11.999,-1155,-15
0.51,11.997,-1171,-15
0.515,11.993,-1187,-15
0.52,11.988,-1203,-15
0.525,11.982,-1219,-15
0.53,11.973,-1235,-15
0.535,11.964,-1252,-15
0.54,11.953,-1268,-15
0.545,11.94,-1284,-15
0.55,11.926,-1300,-15
0.555,11.911,-1316,-24
0.56,11.894,-1333,-24
0.565,11.875,-1349,-24
0.57,11.856,-1365,-24
0.575,11.834,-1381,-15
0.58,11.812,-1397,-15
0.585,11.787,-1414,-15
0.59,11.762,-1430,-14
0.595,11.735,-1446,-14
0.6,11.706,-1462,-14
0.605,11.677,-1479,-14
0.61,11.645,-1495,-15
0.615,11.613,-1511,-15
0.62,11.579,-1527,-15
0.625,11.543,-1544,-15
0.63,11.507,-1560,-15
0.635,11.469,-1576,-15
0.64,11.429,-1593,-15
0.645,11.388,-1609,-14
0.65,11.346,-1625,-14
0.655,11.303,-1641,-14
0.66,11.258,-1658,-15
0.665,11.212,-1674,-15
0.67,11.165,-1690,-15
0.675,11.116,-1706,-15
0.68,11.066,-1723,-24
0.685,11.015,-1739,-24
0.69,10.963,-1755,-24
0.695,10.909,-1772,-15
0.7,10.854,-1788,-15
0.705,10.798,-1804,-15
0.71,10.741,-1820,-15
0.715,10.683,-1837,-12
0.72,10.623,-1853,-12
0.725,10.563,-1869,-12
0.73,10.501,-1885,-12
0.735,10.438,-1902,-15
0.74,10.374,-1918,-15
0.745,10.309,-1934,-15
0.75,10.243,-1950,-15
0.755,10.176,-1967,-15
0.76,10.108,-1983,-15
0.765,10.038,-1999,-15
0.77,9.9682,-2015,-15
0.775,9.897,-2032,-15
0.78,9.8249,-2048,-15
0.785,9.7518,-2064,-15
0.79,9.6778,-2080,-15
0.795,9.6029,-2097,-15
0.8,9.5271,-2113,-15
0.805,9.4504,-2129,-24
0.81,9.3729,-2145,-24
0.815,9.2945,-2161,-24
0.82,9.2154,-2177,-15
0.825,9.1354,-2194,-15
0.83,9.0547,-2210,-15
0.835,8.9732,-2226,-15
0.84,8.8909,-2242,-15
0.845,8.808,-2258,-15
0.85,8.7244,-2274,-15
0.855,8.6401,-2290,-19
0.86,8.5551,-2306,-19
0.865,8.4695,-2323,-19
0.87,8.3833,-2339,-19
0.875,8.2966,-2355,-15
0.88,8.2092,-2371,-15
0.885,8.1213,-2387,-15
0.89,8.0329,-2403,-15
0.895,7.944,-2419,-24
0.9,7.8546,-2435,-24
0.905,7.7647,-2451,-24
0.91,7.6744,-2467,-15
0.915,7.5837,-2483,-15
0.92,7.4926,-2499,-15
0.925,7.4012,-2515,-15
0.93,7.3094,-2530,-17
0.935,7.2172,-2546,-17
0.94,7.1248,-2562,-17
0.945,7.0321,-2578,-24
0.95,6.9391,-2594,-24
0.955,6.8459,-2610,-24
0.96,6.7525,-2626,-24
0.965,6.659,-2641,-15
0.97,6.5652,-2657,-15
0.975,6.4713,-2673,-15
0.98,6.3773,-2689,-24
0.985,6.2832,-2705,-24
0.99,6.189,-2720,-24
0.995,6.0948,-2736,-24
1,6.0006,-2752,-24
1.005,5.9063,-2767,-24
1.01,5.8121,-2783,-24
1.015,5.7179,-2799,-24
1.02,5.6238,-2814,-24
1.025,5.5298,-2830,-24
1.03,5.4359,-2845,-24
1.035,5.3422,-2861,-24
1.04,5.2486,-2876,-24
1.045,5.1552,-2892,-24
1.05,5.062,-2907,-24
1.055,4.969,-2923,-24
1.06,4.8763,-2938,-24
1.065,4.7839,-2954,-24
1.07,4.6917,-2969,-28
1.075,4.5999,-2984,-28
1.08,4.5085,-3000,-28
