Time(s), V(V),Encoder,ADC
0,6,0,1
0.005,6.0942,0,-1
0.01,6.1885,0,-1
0.015,6.2826,1,-1
0.02,6.3767,2,-1
0.025,6.4707,3,259
0.03,6.5646,4,259
0.035,6.6584,6,259
0.04,6.752,9,231
0.045,6.8454,11,231
0.05,6.9386,15,231
0.055,7.0315,18,231
0.06,7.1243,22,207
0.065,7.2167,26,207
0.07,7.3088,31,207
0.075,7.4006,36,216
0.08,7.4921,41,216
0.085,7.5832,47,216
0.09,7.6739,53,216
0.095,7.7642,59,159
0.1,7.854,66,159
0.105,7.9434,73,159
0.11,8.0324,80,143
0.115,8.1208,88,143
0.12,8.2087,95,143
0.125,8.296,104,143
0.13,8.3828,112,127
0.135,8.469,121,127
0.14,8.5546,130,127
0.145,8.6396,139,92
0.15,8.7239,148,92
0.155,8.8075,158,92
0.16,8.8904,167,92
0.165,8.9727,177,96
0.17,9.0542,188,96
0.175,9.1349,198,96
0.18,9.2149,209,96
0.185,9.2941,220,92
0.19,9.3724,231,92
0.195,9.4499,242,92
0.2,9.5266,253,63
0.205,9.6024,265,63
0.21,9.6773,276,63
0.215,9.7514,288,63
0.22,9.8244,300,63
0.225,9.8966,312,63
0.23,9.9678,325,63
0.235,10.038,337,56
0.24,10.107,350,56
0.245,10.175,362,56
0.25,10.243,375,56
0.255,10.309,388,49
0.26,10.374,401,49
0.265,10.438,414,49
0.27,10.501,427,48
0.275,10.562,441,48
0.28,10.623,454,48
0.285,10.682,468,48
0.29,10.741,481,44
0.295,10.798,495,44
0.3,10.854,509,44
0.305,10.909,523,31
0.31,10.962,537,31
0.315,11.015,551,31
0.32,11.066,565,31
0.325,11.116,579,35
0.33,11.164,593,35
0.335,11.212,608,35
0.34,11.258,622,28
0.345,11.303,637,28
0.35,11.346,651,28
0.355,11.388,666,28
0.36,11.429,680,24
0.365,11.468,695,24
0.37,11.506,710,24
0.375,11.543,725,24
0.38,11.579,739,31
0.385,11.613,754,31
0.39,11.645,769,31
0.395,11.676,784,30
0.4,11.706,799,30
0.405,11.735,814,30
0.41,11.762,829,30
0.415,11.787,845,15
0.42,11.811,860,15
0.425,11.834,875,15
0.43,11.855,890,24
0.435,11.875,905,24
0.44,11.894,920,24
0.445,11.911,936,24
0.45,11.926,951,24
0.455,11.94,966,24
0.46,11.953,982,24
0.465,11.964,997,15
0.47,11.973,1013,15
0.475,11.981,1028,15
0.48,11.988,1043,15
0.485,11.993,1059,15
0.49,11.997,1074,15
0.495,11.999,1090,15
0.5,12,1105,15
0.505,11.999,1121,15
0.51,11.997,1137,15
0.515,11.993,1152,15
0.52,11.988,1168,15
0.525,11.982,1183,15
0.53,11.973,1199,15
0.535,11.964,1215,15
0.54,11.953,1230,15
0.545,11.94,1246,15
0.55,11.926,1261,15
0.555,11.911,1277,15
0.56,11.894,1293,15
0.565,11.875,1308,15
0.57,11.856,1324,15
0.575,11.834,1340,15
0.58,11.812,1355,15
0.585,11.787,1371,15
0.59,11.762,1387,15
0.595,11.735,1402,15
0.6,11.706,1418,15
0.605,11.677,1434,15
0.61,11.645,1449,15
0.615,11.613,1465,15
0.62,11.579,1481,15
0.625,11.543,1497,15
0.63,11.507,1512,15
0.635,11.469,1528,15
0.64,11.429,1544,15
0.645,11.388,1560,15
0.65,11.346,1575,15
0.655,11.303,1591,15
0.66,11.258,1607,15
0.665,11.212,1623,15
0.67,11.165,1638,15
0.675,11.116,1654,15
0.68,11.066,1670,7
0.685,11.015,1685,7
0.69,10.963,1701,7
0.695,10.909,1717,24
0.7,10.854,1733,24
0.705,10.798,1748,24
0.71,10.741,1764,24
0.715,10.683,1780,7
0.72,10.623,1795,7
0.725,10.563,1811,7
0.73,10.501,1827,17
0.735,10.438,1843,17
0.74,10.374,1858,17
0.745,10.309,1874,17
0.75,10.243,1890,15
0.755,10.176,1905,15
0.76,10.108,1921,15
0.765,10.038,1937,15
0.77,9.9682,1952,30
0.775,9.897,1968,30
0.78,9.8249,1984,30
0.785,9.7518,1999,14
0.79,9.6778,2015,14
0.795,9.6029,2031,14
0.8,9.5271,2046,14
0.805,9.4504,2062,14
0.81,9.3729,2077,14
0.815,9.2945,2093,14
0.82,9.2154,2109,14
0.825,9.1354,2124,14
0.83,9.0547,2140,14
0.835,8.9732,2156,14
0.84,8.8909,2171,15
0.845,8.808,2187,15
0.85,8.7244,2202,15
0.855,8.6401,2218,15
0.86,8.5551,2233,15
0.865,8.4695,2249,15
0.87,8.3833,2265,15
0.875,8.2966,2280,15
0.88,8.2092,2296,15
0.885,8.1213,2311,15
0.89,8.0329,2327,15
0.895,7.944,2342,15
0.9,7.8546,2358,15
0.905,7.7647,2373,15
0.91,7.6744,2389,15
0.915,7.5837,2404,15
0.92,7.4926,2419,15
0.925,7.4012,2435,15
0.93,7.3094,2450,15
0.935,7.2172,2465,15
0.94,7.1248,2481,15
0.945,7.0321,2496,15
0.95,6.9391,2512,15
0.955,6.8459,2527,15
0.96,6.7525,2542,15
0.965,6.659,2558,15
0.97,6.5652,2573,15
0.975,6.4713,2588,15
0.98,6.3773,2603,31
0.985,6.2832,2619,31
0.99,6.189,2634,31
0.995,6.0948,2649,31
1,6.0006,2664,24
1.005,5.9063,2679,24
1.01,5.8121,2695,24
1.015,5.7179,2710,28
1.02,5.6238,2725,28
1.025,5.5298,2740,28
1.03,5.4359,2755,28
1.035,5.3422,2770,24
1.04,5.2486,2785,24
1.045,5.1552,2801,24
1.05,5.062,2815,24
1.055,4.969,2831,24
1.06,4.8763,2845,24
1.065,4.7839,2861,24
1.07,4.6917,2875,24
1.075,4.5999,2890,24
1.08,4.5085,2905,24
1.085,4.4174,2920,24
1.09,4.3266,2935,24
1.095,4.2364,2950,24
1.1,4.1465,2965,24
1.105,4.0571,2980,31
1.11,3.9682,2994,31
1.115,3.8797,3009,31
1.12,3.7918,3024,31
1.125,3.7045,3039,30
1.13,3.6177,3053,30
1.135,3.5315,3068,30
1.14,3.4459,3083,28
1.145,3.361,3097,28
1.15,3.2766,3112,28
1.155,3.193,3126,28
1.16,3.1101,3141,24
1.165,3.0278,3155,24
1.17,2.9463,3170,24
1.175,2.8656,3184,28
1.18,2.7856,3199,28
1.185,2.7064,3213,28
1.19,2.6281,3227,28
1.195,2.5505,3242,28
1.2,2.4738,3256,28
1.205,2.398,3270,28
1.21,2.3231,3284,24
1.215,2.2491,3298,24
1.22,2.176,3313,24
1.225,2.1038,3327,24
1.23,2.0327,3341,30
